series,window,year_start,partial,stat,n_unit,n_bin,first_bin,last_bin,n_partial,digest
aligned,hour,09-01,keep,mean,3,9600,2021-09-01T00:00:00Z,2022-10-05T23:00:00Z,0,3c7d6efffba24e5605dd1ac72b2a7904
aligned,hour,09-01,keep,min,3,9600,2021-09-01T00:00:00Z,2022-10-05T23:00:00Z,0,3c7d6efffba24e5605dd1ac72b2a7904
aligned,hour,09-01,keep,max,3,9600,2021-09-01T00:00:00Z,2022-10-05T23:00:00Z,0,3c7d6efffba24e5605dd1ac72b2a7904
aligned,hour,09-01,keep,min+mean+max,3,9600,2021-09-01T00:00:00Z,2022-10-05T23:00:00Z,0,3407676e4008ffbad4e5b4e11a1f89f1
aligned,halfday,09-01,keep,mean,3,800,2021-09-01T00:00:00Z,2022-10-05T12:00:00Z,0,4c2eb2409b8803da47c8be4198c0b0e3
aligned,halfday,09-01,keep,min,3,800,2021-09-01T00:00:00Z,2022-10-05T12:00:00Z,0,85dafcd04da33acb5be383cdc2663f48
aligned,halfday,09-01,keep,max,3,800,2021-09-01T00:00:00Z,2022-10-05T12:00:00Z,0,21fee7cb3f38f7fbd9f2dbc8adac3720
aligned,halfday,09-01,keep,min+mean+max,3,800,2021-09-01T00:00:00Z,2022-10-05T12:00:00Z,0,c1581557781f199cdd448b691c536c65
aligned,day,09-01,keep,mean,3,400,2021-09-01T00:00:00Z,2022-10-05T00:00:00Z,0,40452df1f97a471404cd4eaea3c7f870
aligned,day,09-01,keep,min,3,400,2021-09-01T00:00:00Z,2022-10-05T00:00:00Z,0,f402ff58620929ce82916c6767c46fa4
aligned,day,09-01,keep,max,3,400,2021-09-01T00:00:00Z,2022-10-05T00:00:00Z,0,1c912a3bc61a2537ab8a044af8fc2b90
aligned,day,09-01,keep,cold_day,3,400,2021-09-01T00:00:00Z,2022-10-05T00:00:00Z,0,40452df1f97a471404cd4eaea3c7f870
aligned,day,09-01,keep,warm_day,3,400,2021-09-01T00:00:00Z,2022-10-05T00:00:00Z,0,40452df1f97a471404cd4eaea3c7f870
aligned,day,09-01,keep,mean_daily_min,3,400,2021-09-01T00:00:00Z,2022-10-05T00:00:00Z,0,f402ff58620929ce82916c6767c46fa4
aligned,day,09-01,keep,mean_daily_max,3,400,2021-09-01T00:00:00Z,2022-10-05T00:00:00Z,0,1c912a3bc61a2537ab8a044af8fc2b90
aligned,day,09-01,keep,min+mean+max,3,400,2021-09-01T00:00:00Z,2022-10-05T00:00:00Z,0,4fb8669cb8fc873ebdfc2e1e9171e4ca
aligned,day,09-01,keep,mean_daily_min+mean+mean_daily_max,3,400,2021-09-01T00:00:00Z,2022-10-05T00:00:00Z,0,4fb8669cb8fc873ebdfc2e1e9171e4ca
aligned,day,09-01,keep,cold_day+mean+warm_day,3,400,2021-09-01T00:00:00Z,2022-10-05T00:00:00Z,0,04d143a3c07dc5e4395d0233c62d671e
aligned,week,09-01,keep,mean,3,58,2021-08-30T00:00:00Z,2022-10-03T00:00:00Z,2,23015e94770e53ec80212f6e756f96bf
aligned,week,09-01,keep,min,3,58,2021-08-30T00:00:00Z,2022-10-03T00:00:00Z,2,171ae388d9bec359d9c6983fb8a1293a
aligned,week,09-01,keep,max,3,58,2021-08-30T00:00:00Z,2022-10-03T00:00:00Z,2,1ec9ebd9a0b7ae90233298c98e025f34
aligned,week,09-01,keep,cold_day,3,58,2021-08-30T00:00:00Z,2022-10-03T00:00:00Z,2,e95109b48a9b38f53535acc830928d70
aligned,week,09-01,keep,warm_day,3,58,2021-08-30T00:00:00Z,2022-10-03T00:00:00Z,2,90935bc92662ee48704abf92e5386adf
aligned,week,09-01,keep,mean_daily_min,3,58,2021-08-30T00:00:00Z,2022-10-03T00:00:00Z,2,efaebf0411643c3de15cc93cb5ed2de2
aligned,week,09-01,keep,mean_daily_max,3,58,2021-08-30T00:00:00Z,2022-10-03T00:00:00Z,2,7a6c5b39cf403747e1b231bef606957e
aligned,week,09-01,keep,min+mean+max,3,58,2021-08-30T00:00:00Z,2022-10-03T00:00:00Z,2,cab3ea1f4525c9c05dac38e90c3e379d
aligned,week,09-01,keep,mean_daily_min+mean+mean_daily_max,3,58,2021-08-30T00:00:00Z,2022-10-03T00:00:00Z,2,ee64c863a6c60c8b4433a02960e58655
aligned,week,09-01,keep,cold_day+mean+warm_day,3,58,2021-08-30T00:00:00Z,2022-10-03T00:00:00Z,2,c4812626f430c7f9d693db1955b48265
aligned,month,09-01,keep,mean,3,14,2021-09-01T00:00:00Z,2022-10-01T00:00:00Z,1,77550b774ea6a7cfa0a107ccf0377ed1
aligned,month,09-01,keep,min,3,14,2021-09-01T00:00:00Z,2022-10-01T00:00:00Z,1,70a77f28e1187ece09ad90ba850d71c4
aligned,month,09-01,keep,max,3,14,2021-09-01T00:00:00Z,2022-10-01T00:00:00Z,1,92971bcba175e93d8cd5d66732261785
aligned,month,09-01,keep,cold_day,3,14,2021-09-01T00:00:00Z,2022-10-01T00:00:00Z,1,fdb778c0d6082fb5cf9c0da113804631
aligned,month,09-01,keep,warm_day,3,14,2021-09-01T00:00:00Z,2022-10-01T00:00:00Z,1,477e97ef7270a2b4af6f2b51993cdebd
aligned,month,09-01,keep,mean_daily_min,3,14,2021-09-01T00:00:00Z,2022-10-01T00:00:00Z,1,f5b25fb39d4a3a150ed575e99f13e246
aligned,month,09-01,keep,mean_daily_max,3,14,2021-09-01T00:00:00Z,2022-10-01T00:00:00Z,1,cc09774cccb5760a50424f1ae852bd41
aligned,month,09-01,keep,min+mean+max,3,14,2021-09-01T00:00:00Z,2022-10-01T00:00:00Z,1,ab9285e5cb0dfaaa4632b7c1808989cf
aligned,month,09-01,keep,mean_daily_min+mean+mean_daily_max,3,14,2021-09-01T00:00:00Z,2022-10-01T00:00:00Z,1,2e463b13f8c2e118d839a67ee0b77220
aligned,month,09-01,keep,cold_day+mean+warm_day,3,14,2021-09-01T00:00:00Z,2022-10-01T00:00:00Z,1,21747a898bf6146a0bd6de591286fbdd
aligned,season,09-01,keep,mean,3,5,2021-09-01T00:00:00Z,2022-09-01T00:00:00Z,1,0c721e04552c07403bef7e131fd7e514
aligned,season,09-01,keep,min,3,5,2021-09-01T00:00:00Z,2022-09-01T00:00:00Z,1,066ad5c0e16210135de24a3e292e35b6
aligned,season,09-01,keep,max,3,5,2021-09-01T00:00:00Z,2022-09-01T00:00:00Z,1,9893629e81094ec90b30646b382e93b2
aligned,season,09-01,keep,cold_day,3,5,2021-09-01T00:00:00Z,2022-09-01T00:00:00Z,1,1bac1f999ef670d97b18ff317e94d585
aligned,season,09-01,keep,warm_day,3,5,2021-09-01T00:00:00Z,2022-09-01T00:00:00Z,1,8e2e49f296e102f5e080d5bfb63f0f78
aligned,season,09-01,keep,mean_daily_min,3,5,2021-09-01T00:00:00Z,2022-09-01T00:00:00Z,1,09ef895913a819870a0e472706698719
aligned,season,09-01,keep,mean_daily_max,3,5,2021-09-01T00:00:00Z,2022-09-01T00:00:00Z,1,dbfd75bece3f8052aa2c1e6918dcea77
aligned,season,09-01,keep,min+mean+max,3,5,2021-09-01T00:00:00Z,2022-09-01T00:00:00Z,1,5d14dde181659c04f390d54c8f3686e2
